iso	alternate names	affiliation	affiliation-HH	country	dialects	language status	language use	location	population numeric	typology	writing
aal	Afada, Afadeh, Affade, Kotoko, Mogari	Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North	Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Musgu-Kotoko, Kotoko-Buduma, Kotoko Septentrional	Nigeria, Cameroon	Related to Mpade [mpi], Maslam [msv], Malgbe [mxf], Mser [kqx], and Lagwan [kot].	6a (Vigorous).	NA	Borno State, Ngala LGA. 12 villages. Also in Cameroon.	31000	NA	Unwritten.
aam	'Dorobo' , Laramanik, 'Ndorobo'	Nilo-Saharan, Eastern Sudanic, Nilotic, Southern, Kalenjin, Nandi-Markweta, Nandi	Spurious, !Nilotic, !Nilotic_Southern, !Kalenjin, !Nandi-Markweta, !Nandi	Tanzania	NA	10 (Extinct).	NA	Arusha Region, Masaai steppe.	0	NA	Unwritten.
aan	NA	Tupian, Tup\'i-Guaran\'i, Wayamp\'i, Amanay\'e	Tupian, Tupi-Guarani, Tupi-Guarani Subgroup VIII, Guaja-Kaapor-Anambe, Guaja-Anambe	Brazil	Similar to Asurin\'i do Tocantins [asu].	8b (Nearly extinct).	Shifting to Portuguese [por].	Par\'a, Cairari river, tributary of Moju river.	6	NA	NA
aao	Saharan Arabic, Tamanghasset Arabic, Tamanrasset Arabic	Afro-Asiatic, Semitic, Central, South, Arabic	Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, North African Arabic	Egypt, United States, Niger, Algeria	Structurally distinct from other Arabic varieties.	6a (Vigorous).	NA	Morocco border along Atlas mountains, northeast to Medea (south of Algiers), southeast to Righ Wadi, south as far as plateau du Tademait; some in Tamanrasset town. Also in Egypt, Niger.	100000	NA	NA
aap	Ar\'ara Bravos	Cariban, South Amazonian, Arara	Cariban, Pekodian, Xinguan	Brazil	Most similar extant languages are Ikpeng [txi] and Bakair\'i [bkq].	6a (Vigorous).	Some adolescents have good proficiency in Portuguese [por].	Par\'a in 2 villagesLaranjal, Cachoeira Seca.	340	NA	Latin script.
aaq	Abenaki, Eastern Abnaki	Algic, Algonquian, Eastern Algonquian, Abenaki	Algic, Algonquian, Eastern Algonquian	United States	Penobscot.	9 (Dormant).	NA	Maine, Androscoggin-Kennebec and Penobscot valleys. Penobscot dialect survived to the late 20th century near Bangor.	0	NA	NA
aar	Adal, 'Afar Af, Afaraf, 'Danakil' , 'Denkel' , Qafar	Afro-Asiatic, Cushitic, East, Saho-Afar	Afro-Asiatic, Cushitic, East Cushitic, Lowland East Cushitic, Saho-Afar	Eritrea, Djibouti, Ethiopia	Aussa, Baadu (Ba'adu), Central Afar, Northern Afar. Related to Saho [ssy].	2 (Provincial). Statutory provincial working language in Afar Region (1994, Constitution, Art 47).	22,848 L2 users. Also use Sudanese Spoken Arabic [apd].	Eastern lowlands, Afar Region. May be in Somalia. Also in Djibouti, Eritrea.	1280000	SOV	Ethiopic script, used in Ethiopia. Latin script, used since 1840, primary usage.
aas	Aas\'a, As\'a, Asak, Asax, Assa, 'Dorobo' , Il Konono, Lamanik, 'Ndorobo'	Afro-Asiatic, Cushitic, South	Afro-Asiatic, Cushitic, South Cushitic, Unclassified South Cushitic	Tanzania	NA	8b (Nearly extinct).	Aas\'ax is being lost due to language shift. In 1999, it was reportedly spoken in central Massai Steppe. It was dependent on and absorbed into Maasai [mas] and nearby Bantu groups. Because of stigmatization, Aas\'ax speakers may identify themselves as Maasai. Smith (in Blackburn n.d.) mentions the number of about 100 people who have some knowledge of the language; this statement has yet to be verified. (Sommer 1992). Also use Maasai [mas] and Swahili [swh].	North, central Maasai steppe, Landenai, Ndovu Okutu, Lolbeni villages. Reportedly in Lemelebo, Landrobo, Naitomani districts.	350	NA	NA
aat	Arberichte, Arvanitic, Arvanitika	Indo-European, Albanian, Tosk	Indo-European, Albanian, Albanian-Tosk	Greece	Northwestern Arvanitika, South Central Arvanitika, Thracean Arvanitika. Partially intelligible with Albanian Tosk [als]. Dialects perceived as mutually unintelligible.	7 (Shifting).	Youth migrate to Athens and assimilate as Greeks. Some cultural revival since the 1980s. Rapid language shift so regular use is probably confined to a much smaller number of people (2007). Older adults; few if any children learn the language.	Attica (Attiki), Boeotia (Viotia), south Euboea (Evia), and Salamis (Salamina) islands; Thrace; Peloponiso Peninsula, Arkadia; Athens; Peloponnese, mostly northwest ; Andros north. Mainly rural. 300 villages.	50000	NA	Greek script.
aau	Green River	Sepik, Abau	Sepik, Abau	Papua New Guinea	Central Abau, Down-river, Down-river border, Up-river.	5 (Developing).	Dialect differences are such that (especially young) people from different dialects use Tok Pisin [tpi] between them. Tok Pisin is favored if non-Abau speakers are present. Family, village disputes, cultural events. All ages, but increasingly youth prefer Tok Pisin [tpi].	Sandaun Province, Green River district, Sepik and Green rivers.	7270	SOV; nominative-accusative orientation	Latin script.
aaw	Arawe, Arove, Pililo	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Southwest New Britain, Arawe-Pasismanua, Arawe, West Arawe	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, North New Guinea linkage, Ngero-Vitiaz linkage, Vitiaz linkage, Southwest New Britain linkage, Arawe-Pasismanua, Arawe, West Arawe	Papua New Guinea	Arawe. Dialect subgroup. Understood by all along the coast.	4 (Educational).	Also use Tok Pisin [tpi] or English [eng].	West New Britain Province, southwest coast.	2200	NA	Latin script.
aax	Dumut, 'Kaeti' , Kambon, Kwem, Mandobbo, Nub, Wambon	Trans-New Guinea, Ok-Awyu, Awyu-Dumut, Dumut	Nuclear_Trans_New_Guinea, Asmat-Awyu-Ok, Greater Awyu, Awyu-Dumut, Dumut, Mandobo	Indonesia (Papua)	NA	6a (Vigorous).	NA	Papua Province. Area south of Digul river headwaters, between Tanahmerah and Mindiptanah towns, extending towards Fly River border, Papua New Guinea.	10000	NA	NA
aay	NA	NA	Spurious	India	NA	NA	NA	NA	NA	NA	NA
aaz	Timor Amarasi, Uab Meto	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Timor-Babar, Nuclear Timor, Uab Meto	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Timoric A, Western Timoric A, Rotinese	Indonesia (Papua)	Kotos, Ro'is, Ro'is Hero (Kopa), Ro'is Tais Nonof. Part of Uab Meto language chain. Similar to Uab Meto [aoz] but with differences in phonology, vocabulary, and discourse, with semantic shifts, structural differences, intelligibility problems. Ro'is Tais Nonof dialect has intonation like Ro'is dialect, vocabulary like Kotos dialect.	5 (Developing).	Some also use Indonesian [&lt;a href=show_language.asp?code=ind&gt;ind&lt;/a&gt;].	East Nusa Tenggara Province. Southwest tip, Timor island, 80 villages. Dialect locationsKotos is central and east, Ro'is is west, Ro'is Tais Nonof is south, Ro'is Hero surrounded by Helong [heg] language area.	70000	NA	Latin script.
aba	Abb\'e, Abbey, Abi	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby	Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Agneby	C�te d'Ivoire	Abbey-Ve, Kos (Khos), Morie, Tioffo.	5 (Developing).	NA	Lagunes Region, Agboville subprefecture (except Krobou canton); Tiassale subprefecture, Abbe canton. 70 villages.	170000	SVO; postpositions; tonal	Latin script.
abb	Abaw, Abo, Bo, Bon	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, A, Basaa (A.42)	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa (A.40), Abo-Barombi	Cameroon	Lexical similarity86% with Barombi [bbi].	6a (Vigorous).	NA	Littoral Region, Moungo division, north of Douala and west of Wouri river, and Dibombari.	12000	NA	NA
abc	Ambala Agta, Ambala Sambal	Austronesian, Malayo-Polynesian, Philippine, Central Luzon, Sambalic	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central Luzon, Sambalic	Philippines	Ambala Ayta speakers' comprehension of Botolan Sambal [sbl] is 60%, of Mag-Indi Ayta [blx] is 54%, of Mag-antsi Ayta [sgb] is 60%, of Magbukun Ayta [ayt] is 70%. Lexical similarity70% with Botolan Sambal, 55% with Filipino [fil].	6a (Vigorous).	Also use Filipino [fil].	Luzon, Zambales Province, San Marcelino, Subic city, Olongapa, Castillejos barrios; Luzon, Bataan province, Dinalupinan barrio.	1660	NA	NA
abd	Abiyan, Camarinas Norte Agta	Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Umiray Dumaget	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Greater Central Philippine, Central Philippine, Alabat-Manide Agta	Philippines	Lexical similarity67% with Alabat Agta [dul], 35% with Mt. Iriga Agta [agz].	6a (Vigorous).	Young people tend to prefer Tagalog [tgl] (2007). Home. Used by a few children. Mildly positive attitudes. Bilingualism in Tagalog [tgl] is prevalent (Wurm 2007).	Luzon, Camarines Norte Province, Santa Elena and Labo municipalities.	3800	NA	NA
abe	Abenaki, Abenaqui, St. Francis, Western Abnaki	Algic, Algonquian, Eastern Algonquian, Abenaki	Algic, Algonquian, Eastern Algonquian	Canada	NA	8b (Nearly extinct).	Elderly only.	Quebec, Odanak Reserve on the Saint Francois River. Also in United States.	10	NA	Latin script.
abf	NA	Austronesian, Malayo-Polynesian, North Borneo, Sabahan, Paitanic	Austronesian, Nuclear Austronesian, Malayo-Polynesian, North Borneo Malayo-Polynesian, Southwest Sabahan, Paitanic	Malaysia (Peninsular)	Distinct from other Paitanic languages (Upper Kinabatangan [dmg], Tombonuo [txa]).	7 (Shifting).	Shifting to Standard Malay [zsm]. Neutral attitudes. Also use Sabah Malay [msi] (Wurm 2007).	Sabah, lower reaches of Kinabatangan river.	0	NA	Unwritten.
abg	Wagaba	Trans-New Guinea, Madang, Kalam-Kobon	Nuclear_Trans_New_Guinea, Kainantu-Goroka, Goroka, Kamano-Yagaria	Papua New Guinea	Abaga borrows heavily from Kamano [kbq] and Benabena [bef].	8b (Nearly extinct).	Town and fighting. Men, some older women. All also use Kamano [kbq] and Benabena [bef].	Eastern Highlands Province, Goroka district.	5	NA	NA
abh	Arabic, Bukhara Arabic, Buxara Arabic, Central Asian, Jugari, Tajiji Arabic	Afro-Asiatic, Semitic, Central, South, Arabic	Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Eastern Arabic, Afghanistan-Uzbekistan Arabic	Uzbekistan, Afghanistan, Tajikistan	NA	6b (Threatened).	Only a few speak Arabic. Shifting to Tajiki [tgk]. No diglossia with Modern Standard Arabic [arb]. Also use Tajiki [tgk] as L2.	Khatlon Province, Vakhsh Valley villages; Kuliab and Leninabad cities. Mainly small villages. Also in Afghanistan, Uzbekistan.	1000	NA	Arabic script.
abi	Abiji	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby	Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Agneby	C�te d'Ivoire	Enyembe, Ogbru.	5 (Developing).	Also use French [fra], Jula [dyu], Baoul\'e [bci], or Adioukrou [adj].	Lagunes Region, Abidjan, Sikensi subprefecture (12 villages); Dabou subprefecture, a few villages.	50500	Nasalization on syllable; tonal	Latin script.
abj	Aka-Beada, Bea, Beada, Biada, Bogijiab, Bojigniji, Bojigyab	Andamanese, Great Andamanese, Central	Great_Andamanese, South Great Andamanese	India	NA	10 (Extinct).	NA	Andaman Islands, South Andaman island except northeast coast, and north and east interiors; Rutland island except south coast; small islands southeast of Rutland; Labyrinth Islands.	0	NA	NA
abk	Abxazo	North Caucasian, West Caucasian, Abkhaz-Abazin	Abkhaz-Adyge, Abkhaz-Abaza	Russian Federation (Asia), Turkey (Asia), Georgia, Ukraine	Abzhui, Bzyb, Samurzakan.	2 (Provincial). Statutory provincial language in Abkhazia, co-official with Georgian (1995, Constitution, Article 8).	94% speak it as L1.	Abkhaz Republic, Black Sea coast. Also in Russian Federation, Turkey, Ukraine.	101000	NA	Cyrillic script, used since 1860s. Georgian (Mkhedruli) script, no longer in use.
abl	Abung, Lampong	Austronesian, Malayo-Polynesian, Lampung	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Lampungic	Indonesia (Papua)	Abung, Melinting, Sukadana, Tulangbawang. Many differences in vocabulary and phonology with Lampung Api [ljp]. Lexical similarity72% between the Menggala dialect and the Kalianda dialect of Lampung Api, 77% among dialects.	6a (Vigorous).	Home. All ages. Positive attitudes. Indonesian [ind] used in education, religion, and civil domains.	Sumatra, east Lampung Province. 3 enclaves situated between Kanan and Seputih rivers.	180000	NA	Kaganga script.
abm	Abanyum, Befun, Bofon, Mbofon	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Ekoid, Bakor	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Ekoid-Mbe, Ekoid, Efutop-Ekajuk, Abanyom-Ekajuk	Nigeria	Other Bakor varieties not intelligible unless acquired. Lexical similarity71% with Nkem-Nkum [isi], 72% with Nnam [nbp], 66%-68% with Ekajuk [eka], 65%-67% with Nde-Nsele-Nta [ndd], 56% with Efutop [ofu].	6a (Vigorous).	Home, community. Most also use Nigerian Pidgin [pcm], some understand Nde-Nsele-Nta [ndd], Nkem-Nkum [isi], Nnam [nbp], and Ekajuk [eka].	Cross River State, Ikom LGA, Abangkang, main village.	12500	NA	NA
abn	Abuan	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Central Delta, Abua-Odual	Atlantic-Congo, Volta-Congo, Benue-Congo, Delta Cross, Central Delta, Abua-Odual	Nigeria	Central Abuan, Emughan, Okpeden, Otapha (Otabha). Central dialect understood by all others. Most similar to Odual [odu]. Lexical similarity70% with Odual [odu].	6a (Vigorous).	Vigorous.	Rivers State, Degema and Ahoada LGAs.	25000	NA	Latin script.
abo	Ab\~o, Abong, Ba'ban	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Tivoid	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Tivoid, North Tivoid	Nigeria	NA	6a (Vigorous).	NA	Taraba State, Sardauna LGA, Abong town, southeast of Baissa.	1000	NA	NA
abp	Abenlen, Aburlen Negrito, Ayta Abellen Sambal	Austronesian, Malayo-Polynesian, Philippine, Central Luzon, Sambalic	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central Luzon, Sambalic, Abellen-Botolan	Philippines	Lexical similarity66% with Botolan Sambal [sbl], 49% with Sambal [xsb], 38%-44% with Ilocano [ilo], Pangasinan [pag], Filipino [fil], Pampangan [pam].	5 (Developing).	In some remote areas, children still learn it first. Home, community, church. Mainly younger adults. Neutral attitudes. Speakers acquire and use L2's at home, community, or school, when negotiating multiple linguistic identities.	Luzon, Tarlac Province, San Jose, Maamot; Station Juliana, Mayantoc, and Capas.	3000	NA	Latin script.
abq	Abazin, Abazintsy, Ashuwa	North Caucasian, West Caucasian, Abkhaz-Abazin	Abkhaz-Adyge, Abkhaz-Abaza	Russian Federation (Asia), Turkey (Asia), Germany	Ashkaraua (Ashkar, Ashxar), Bezshagh, Tapanta. Some dialects partially intelligible of Abkhaz [abk].	4 (Educational).	More vigorous in the Russian Federation than Turkey. L1 for about 95%. Most also use Russian [rus].	Karachay-Cherkessia Province. Also in Germany, Turkey.	37800	SOV; ergative-absolutive agreement on the verb	Cyrillic script. Latin script, used in Turkey.
abr	Bron, Brong, Doma, Gyaman	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Central, Akan	Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Central Tano, Akanic	Ghana, C�te d'Ivoire	NA	5 (Developing).	Most have good comprehension of Akan [aka].	Southwest, northwest of Asante Twi [aka] language area. Also in C\^ote d'Ivoire.	1050000	NA	Latin script, used since 1978.
abs	Ambonese, Ambong, Malayu Ambon, Moluccan (Maluku) Malay	Creole, Malay based	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Malayo-Sumbawan, North and East Malayo-Sumbawan, Malayic, Vehicular Malay, Eastern Indonesia Trade Malay, Ambonic Malay	United States, Indonesia (Papua), Netherlands	Dobo Malay. Marginal intelligibility with Indonesian [ind]. Difficult intelligibility with North Moluccan Malay [max]; speakers switch to Indonesian. Lexical similarity81% with Indonesian [ind]. Banda Malay [bpq] may best be considered a dialect of Moluccan Malay [max].	3 (Wider communication).	Many L2 speakers. Also use Indonesian [ind] or an indigenous language of Maluku.	Maluku Province. Central areaAmbon, Haruku, Nusa Laut, and Saparua islands; coastal areas of Seram island. Southern areanorthwest Aru island group, Wamar island. Also in Netherlands, United States.	200000	NA	Latin script.
abt	Abelam, Abulas	Sepik, Ndu	Ndu, Nuclear Ndu, Ambulas-Hanga-Hundi	Papua New Guinea	Maprik, Wingei, Wosera-Kamu, Wosera-Mamu.	5 (Developing).	NA	East Sepik Province, Maprik district.	44000	OSV	Latin script.
abu	Abonwa, Abour\'e, Abule, Akaplass	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Western	Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Western Tano	C�te d'Ivoire	Most similar to Anyin [any]. Also close to Baoule [bci] and Nzema [nzi].	6a (Vigorous).	Many also use Anyin [any].	Sud-Como\'e Region, Bonoua subprefecture; Grand Bassam subprefecture, Abidjan.	55100	NA	Latin script.
abv	Baharna, Baharnah, Bahraini Shi'ite Arabic	Afro-Asiatic, Semitic, Central, South, Arabic	Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Arabian Peninsula Arabic	Bahrain, Oman	NA	3 (Wider communication). De facto national working language.	Negative attitudes. Also use Gulf Spoken Arabic [afb].	Also in Oman.	300000	NA	Arabic script.
abw	Abasakur	Trans-New Guinea, Madang, Croisilles, Pihom, Omosan	Nuclear_Trans_New_Guinea, Madang, Croisilles, Tibor-Omosa, Omosan	Papua New Guinea	Related to Kobol [kgu].	6a (Vigorous).	NA	Madang Province.	1160	NA	NA
abx	Abaknon, Abaknon Sama, Capule\~no, Kapul, Sama	Austronesian, Malayo-Polynesian, Greater Barito, Sama-Bajaw, Abaknon	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Greater Barito, Sama-Bajaw	Philippines	NA	4 (Educational).	Vigorous. All domains. All ages. Also use Filipino [fil], English [eng], Central Bikol [bcl], or Cebuano [ceb].	North Samar Province, east Visayas region, San Bernardino strait, Capul island, west Samar coast facing the island; Manila.	26400	NA	Latin script.
aby	Abia, Abie	Trans-New Guinea, Southeast Papuan, Yareban	Yareban	Papua New Guinea	Auwaka, Buniabura, Doma, Jari, Mori. Lexical similarity65%-73% with Moikodi [mkp] (most similar).	5 (Developing).	Also use Motu [meu] or Yareba [yrb].	Oro Province, Afore district, both sides of Owen Stanley range; Central Province, north from Ianu along Foasi and Domara creeks.	650	NA	Latin script.
abz	'Barawahing' , Barue, Namatalaki	Trans-New Guinea, West, Timor-Alor-Pantar, Alor-Pantar, Alor	Alor-Pantar, Alor	Indonesia (Papua)	Abui Barat, Abui Selatan, Alakaman, Atimelang. Much dialect diversity. Alakaman may be a dialect of Kamang [woi] (Woisika). May be more than 1 language.	6a (Vigorous).	NA	East Nusa Tenggara Province. Western half, Alor island.	16000	NA	NA
aca	Ajagua, Xagua	Maipurean, Northern, Upper Amazon, Western Nawiki, Piapoco	Arawakan, Northern Maipuran, Inland Northern Maipuran	Colombia	Similar to Piapoco [pio].	6b (Threatened).	Still very viable. Home. Also use Spanish [spa] or Piapoco [pio].	Meta Department, right bank of R\'io Meta, between Puerto L\'opez and Puerto Gait\'an, community of Umapo. Also in El Turpial reservation.	250	NA	Latin script.
acb	Bunta	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Unclassified	Unattested	Nigeria	NA	6a (Vigorous).	NA	Taraba State, Sardauna LGA, Antere, Nca village.	300	NA	NA
acc	NA	NA	Spurious, !Retired	Guatemala	NA	NA	NA	NA	NA	NA	NA
acd	Chode, Gichode, Kyode	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Guang, North Guang	Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Guang, North Guang, Oti North Guang, Mountain Oti North Guang, Gikyode-Ginyanga	Ghana	Lexical similarity75% with Ginyanga [ayg] of Togo.	5 (Developing).	Vigorous. All domains. All ages. Also use Akan [aka].	East central, on Togo border. 9 remote villages.	10400	NA	Latin script, used since 1980.
ace	Acehnese, Achehnese, Achinese	Austronesian, Malayo-Polynesian, Malayo-Chamic, Chamic, Acehnese	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Malayo-Sumbawan, North and East Malayo-Sumbawan, Aceh-Chamic, Acehnese	Indonesia (Papua)	Banda Aceh, Baruh, Bueng, Daja, Pase, Pidie (Pedir, Timu), Tunong.	3 (Wider communication). De facto language of provincial identity in Aceh province.	Vigorous. All domains except education and government. All ages. Positive attitudes. Also use Indonesian [ind], mostly in the cities, education.	Aceh Province, north tip of Sumatra, coastal areas. Also in United States.	3500000	SVO	Latin script.
acf	Grenadian Creole French, Kw\'ey\`ol, Lesser Antillean Creole French, Patois, Patwa	Creole, French based	Indo-European, Italic, Latino-Faliscan, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Northwestern Shifted Romance, Gallo-Rhaetian, Oil, Central Oil, Macro-French, Circum-Caribbean French, Lesser Antillean French Creole, Lucia-Miguel Creole French	Saint Lucia, France, Trinidad and Tobago, Guyana, Grenada, Dominica	Not intelligible with standard French [fra]. All French creoles of the Caribbean are somewhat mutually inherently intelligible (Goodman 1964). Dominica dialect is virtually the same as Saint Lucia (97%-99% intelligibility).	5 (Developing). De facto language of national identity.	In French-influenced islands nearly all speak Creole as L1, although also a local variety of standard French. In English influence areas, Creole has less standing, and speakers have a low literacy rate. All domains. Some also use French [fra] or English [eng].	Also in Dominica (Dominican Creole French), France (Lesser Antillean Creole French), Grenada (Grenadian Creole French), Guyana, Saint Martin (Lesser Antillean Creole French), Trinidad and Tobago (Trinidadian Creole French).	158000	NA	Latin script.
