language	glottocode	iso
Anyin Morofo	anyi1244	mtb
Anyin	anyi1245	any
Ao Naga	aona1235	njo
Aoheng	aohe1237	pni
Aore	aore1237	aor
Ap Ma	apma1241	kbx
Apalachee	apal1237	xap
Apalai	apal1257	apy
Apali	apal1256	ena
Apalik	apal1255	apo
Apasco-Apoala Mixtec	apas1235	mip
Apatani	apat1240	apt
Apiaka-Tocantins	apia1247	NA
Apiaka	apia1248	api
Apinaye	apin1244	apn
Apma	apma1240	app
Apolista	apol1242	NA
Apoto	apot1235	NA
Aproumu Aizi	apro1235	ahp
Apulia-Calabrian Greek	apul1236	NA
Apurina	apur1254	apu
Aputai	aput1237	apx
Arabana	arab1267	ard
Arabela	arab1268	arl
Aracaju	arac1235	NA
Arafundi-Enga Pidgin	araf1245	NA
Aragonese	arag1245	arg
Araicu	arai1239	NA
Arakanese	arak1256	mhv
Araki	arak1252	akr
Arakwal	arak1254	rkw
Aralle-Tabulahan	aral1243	atq
Aramanik	aram1252	aam
Arammba	aram1253	stk
Aranadan	aran1261	aaf
Aranama	aran1265	NA
Arandai	aran1237	jbj
Araona	arao1248	aro
Arapaho	arap1274	arp
Arapaso	arap1275	arj
Arawete	araw1273	awt
Arawum	araw1272	awm
Arazaire	araz1236	NA
Arbore	arbo1245	arv
Arbaresha Albanian	arbe1236	aae
Archaic Finnish Swedish	east2303	NA
Archaic Gutnish	gutn1238	NA
Archaic Norrlandic	arch1246	NA
Archi	arch1244	aqc
Are	aree1239	mwc
Areba	areb1238	aea
Arem	arem1240	aem
Arequipa-La Union Quechua	areq1237	qxu
Argentine Sign Language	arge1236	aed
Argobba	argo1244	agj
Arguni	argu1237	agf
Arhuaco	arhu1242	arh
Arha	arha1237	aqr
Arho	arho1237	aok
Ari	arii1243	aac
Aribwatsa	arib1241	laz
Aribwaung	arib1240	ylu
Arifama-Miniafia	arif1239	aai
Arigidi	arig1246	aqg
Arikapu	arik1265	ark
Arikara	arik1262	ari
Arikem	arik1264	ait
Arin	arin1243	xrn
Aringa	arin1244	luc
Aritinngitigh	arit1239	dth
Arizona Tewa	ariz1237	NA
Arma	arma1244	aoh
Armenian Sign Language	arme1259	aen
Armenian	nucl1235	hye
Aro	torr1259	tei
Aromanian	arom1237	rup
Arop-Lokep	arop1243	apr
Arop-Sissano	arop1242	aps
Arosi	aros1241	aia
Arpitan	fran1260	frp
Arta	arta1239	atz
Aruamu	arua1260	msy
Aruan	arua1264	NA
Aruba	arub1238	NA
Aruek	arue1240	aur
Arusha	arus1242	NA
Arutani	arut1244	atx
Arua (Amazonas State)	arua1263	aru
Arua (Rondonia State)	arua1261	arx
Arvanitika Albanian	arva1236	aat
As	asss1237	asz
Asabano	suar1238	seo
Asaro'o	asar1240	mtv
Asas	asas1240	asd
Ashe	ashe1269	ahs
Ashkun	ashk1246	ask
Asho Chin	asho1236	csh
Ashtiani	asht1244	atn
Ashaninka	asha1243	cni
Asheninka Pajonal	ashe1273	cjo
Asheninka Perene	ashe1272	prq
Asilulu	asil1242	asl
Askopan	asko1238	eiv
Asoa	asoa1238	asv
Assamese	assa1263	asm
Assan	assa1266	xss
Assangori	assa1269	sjg
Assiniboine	assi1247	asb
Assyrian Neo-Aramaic	assy1241	aii
Asturian	astu1245	ast
Asu (Nigeria)	asun1235	aum
Asu (Tanzania)	asut1235	asa
Asue Awyu	asue1235	psa
Asumboa	asum1237	aua
Asuncion Mixtepec Zapotec	asun1236	zoo
Asuri	asur1254	asr
Ata Manobo	atam1240	atd
Ata	ataa1240	atm
Atacame	atac1235	NA
Atakapa	atak1252	aqp
Atampaya	atam1239	amz
Atatlahuca Mixtec	atat1238	mib
Atayal	atay1247	tay
Athima	athi1234	NA
Athpariya	athp1241	aph
Ati	atii1237	atk
Atikamekw	atik1240	atj
Atohwaim	atoh1238	aqm
Atong (India)	aton1241	aot
Atong	aton1242	ato
Atorada	ator1244	aox
Atsahuaca	atsa1242	atc
Atsam	atsa1241	cch
Atsugewi	atsu1245	atw
Attapady Kurumba	atta1243	pkr
Attie	atti1239	ati
Atuence	atue1238	atf
Atzingo Matlatzinca	atzi1235	ocu
Au	auuu1241	avt
Aukan	ndyu1242	djk
Aulua	aulu1238	aul
Aure y Aura	aura1243	aux
Aushi	aush1241	auh
Aushiri	aush1242	avs
Austral	aust1304	aut
Australian Aborigines Sign Language	aust1253	asw
Australian Sign Language	aust1271	asf
Austrian Sign Language	aust1252	asq
Auvergnat	auve1240	auv
Auwe	auwe1239	smf
Auwon	awun1245	aww
Auye	auye1238	auu
Auyokawa	auyo1240	auo
Avane	bani1254	bvv
Avar	avar1256	ava
Avatime	avat1244	avn
Avau	avau1237	avb
Avava	katb1237	tmb
Avestan	aves1237	ave
Avikam	avik1243	avi
Avok	avok1244	NA
Avokaya	avok1242	avu
Ava-Canoeiro	avac1239	avv
Awa (Papua New Guinea)	awap1236	awb
Awa-Cuaiquer	awac1239	kwi
Awabakal	awab1243	awk
Awad Bing	awad1244	bcu
Awadhi	awad1243	awa
Awak	awak1250	awo
Awar	awar1249	aya
Awara	awar1248	awx
Awbono	awbo1238	awh
Aweer	awee1242	bob
Awera	awer1241	awr
Aweti	awet1244	awe
Awing	awin1248	azo
Awiyaana	awiy1238	auy
Awjilah-Foqaha	awji1241	auj
Awngi	awng1244	awn
Awtuw	awtu1239	kmn
Awu = Lope	awuu1235	yiu
Awutu	awut1241	afu
Awyi	awyi1241	auw
Axamb	axam1237	ahb
Axi Yi	axiy1235	yix
Ayacucho Quechua	ayac1239	quy
Ayautla Mazatec	ayau1235	vmy
Ayere	ayer1245	aye
Ayi (China)	ayic1234	ayx
Ayi (Papua New Guinea)	ayip1235	ayq
Ayiwo	ayiw1239	nfl
Ayizi	ayiz1244	yyz
Ayizo Gbe	ayiz1245	ayb
Ayoquesco Zapotec	ayoq1235	zaf
Ayoreo	ayor1240	ayo
Ayu	ayuu1242	ayu
Ayutla Mixtec	ayut1236	miy
Azha	azha1235	aza
Azhe	azhe1235	yiz
Azoyu Me'phaa	azoy1236	tpc
Àhan	ahan1244	ahn
Ánca	anca1236	acb
Baa	kwaa1262	kwb
Baan	baan1241	bvj
Baangi	baan1242	bqx
Baatonum	baat1238	bba
Baazem	baaz1234	NA
Baba Malay	baba1267	mbf
Baba	baba1264	bbw
Babalia Creole Arabic	baba1273	bbz
Babango	baba1263	bbm
Babanki	baba1266	bbk
Babatana	baba1268	baa
Babine	babi1235	bcr
Babuza	babu1240	bzg
Bacama	baca1246	bcy
Bacama-Yimburu	baca1245	NA
Bacanese Malay	baca1243	btj
Bactrian	bact1239	xbc
Bada (Indonesia)	bada1261	bhz
Bada (Nigeria)	bada1258	bau
Badaga	bada1257	bfq
Bade	bade1248	bde
Badeshi	bade1240	bdz
Badimaya	badi1246	bia
Badui	badu1237	bac
Baeggu	baeg1237	bvd
Baelelea	bael1237	bvc
Baenan	baen1237	NA
Baetora	baet1237	btr
Bafanji	bafa1249	bfj
Bafaw-Balong	bafa1247	bwt
Bafia	bafi1243	ksf
Bafoto	bafo1235	NA
Bafut	bafu1246	bfd
Baga Kaloum	baga1271	bqf
Baga Koga	baga1273	bgo
Baga Manduri	baga1270	bmd
Baga Mboteni	baga1276	bgm
Baga Mboteni-Binari	baga1275	bcg
Baga Sitemu	baga1272	bsp
Baga Sobane	baga1274	bsv
Bagheli	bagh1251	bfy
Bagirmi Fulfulde	bagi1244	fui
Bagirmi	bagi1246	bmi
Bago-Kusuntu	bago1245	bqg
Bagri	bagr1243	bgq
Bagua	bagu1249	NA
Bagupi	bagu1252	bpi
Bagusa	bagu1251	bqb
Bagvalal	bagv1239	kva
Baha Buyang	baha1256	yha
Baham	baha1258	bdw
Bahamas Creole English	baha1260	bah
Baharna Arabic	baha1259	abv
Bahau River Kenyah	baha1262	bwv
Bahau	baha1257	bhv
Bahinemo	bahi1254	bjh
Bahing	bahi1252	bhj
Bahnar	bahn1262	bdq
Bahonsuai	baho1237	bsu
Bai	baii1251	bdj
Bai-Maclay	baim1246	NA
Baibai	baib1251	bbf
Baikeno	baik1238	bkx
Baima	baim1244	bqh
Baimak	baim1245	bmx
Bainouk-Gunyaamolo-Gutobor	bain1261	bcz
Bainouk-Samik	bain1260	bcb
Bainounk-Gujaher	bain1259	bab
Baiso	bais1246	bsw
Baissa Fali	bais1242	fah
Bajan	baja1265	bjs
Bajelani	baje1238	bjm
Baka (Cameroon)	baka1272	bkc
Baka (Sudan)	baka1274	bdh
Bakairi	baka1277	bkq
Bakaka	baka1273	bqz
Bakhtiari	bakh1245	bqi
Baki	baki1244	bki
Bakoko	bako1249	bkh
Bakole	bako1250	kme
Bakpinka	bakp1238	bbs
Bakumpai	baku1263	bkr
Bakung Kenyah	baku1265	boc
Bakwe	bakw1243	bjw
Balade	bala1316	NA
Balaesang	bala1314	bls
Balangao	bala1310	blw
Balangingi	bala1311	sse
Balanta-Ganja	bala1302	bjt
Balanta-Kentohe	bala1301	ble
Balantak	bala1315	blz
Balau	bala1306	blg
Baldemu	bald1241	bdn
Bali (Democratic Republic of Congo)	bali1274	bcp
Bali (Nigeria)	bali1245	bcn
Balinese Malay	bali1279	mhp
Balinese	bali1278	ban
Balkan Gagauz Turkish	balk1254	bgx
Balkan Romani	balk1252	rmn
Balo	balo1264	bqo
Balobo	liki1240	lie
Balti	balt1258	bft
Baltic Romani	balt1257	rml
Bamali	bama1251	bbq
Bambalang	bamb1265	bmo
Bambam	bamb1270	ptu
Bambara	bamb1269	bam
Bambassi	bamb1262	myf
Bambili-Bambui	bamb1266	baw
Bamenyam	bame1260	bce
Bamu	bamu1257	bcf
Bamukumbit	bamu1254	bqt
Bamun	bamu1253	bax
Bamunka	bamu1256	bvm
Bamwe	bamw1238	bmg
Ban Khor Sign Language	bank1251	bfk
Bana	bana1305	bcw
Banao Itneg	bana1288	bjx
Banaro	bana1292	byz
Banawa	bana1306	bnh
Banda (Indonesia)	band1355	bnd
Banda Malay	band1353	bpq
Banda-Bambari	band1344	liy
Banda-Banda	band1343	bpd
Banda-Mbres	band1342	bqk
Banda-Ndele	band1345	bfl
Banda-Yangere	band1348	yaj
Bandi	band1352	bza
Bandial	band1340	bqj
Bandjigali	band1337	bjd
Bangad	sout2908	ksc
Bangala	bang1353	bxg
Bangba	bang1345	bbe
Banggai	bang1368	bgz
Banggarla	bang1339	bjb
Bangi	bang1354	bni
Bangime	bang1363	dba
Bangka	bang1365	mfb
Bangolan	bang1356	bgj
Bangru	bang1369	NA
Bangubangu	bang1350	bnx
Bangwinji	bang1348	bsj
Baniva de Maroa	guar1293	gae
Baniwa do Icana	bani1255	bwi
Banjar	banj1239	bjn
Bankagooma	bank1258	bxw
Bankan Tey Dogon	bank1259	dbw
Bankon	bank1256	abb
Bannoni	bann1247	bcm
Bantang	bant1298	NA
Bantawa	bant1281	bap
Bantayanon	bant1293	bfx
Bantik	bant1286	bnq
Bantoanon	bant1288	bno
Baoule	baou1238	bci
Bapen	bape1239	NA
Bara Malagasy	bara1369	bhr
Baraamu	bara1357	brd
Barai	nucl1630	bbb
Barain	bare1279	bva
Barakai	bara1367	baj
Baram Kayan	bara1370	kys
Barama	bara1362	bbg
Barambu	bara1361	brm
Baramu	bara1378	bmz
Barapasi	bara1375	brp
Baras	bara1371	brs
Barasana-Eduria	bara1380	bsn
Barbacoas	barb1242	bpb
Barbareño	barb1263	boi
Barclayville Grebo	barc1235	gry
Bardi	bard1255	bcj
Bargam	barg1252	mlp
Bari	bari1284	bfa
Bariai	bari1286	bch
Bariji	bari1290	bjc
Barikanchi	bari1241	bxo
Barikewa	bari1298	jbk
Barok	baro1253	bjk
Barombi	baro1252	bbi
Barranbinya	barr1252	NA
Barro Negro Tunebo	barr1251	tbn
Barrow Point	barr1247	bpt
Baruga	baru1269	bjz
Baruya	baru1267	byr
Barwe	barw1243	bwg
Barzani Jewish Neo-Aramaic	barz1241	bjf
Bare	bare1276	bae
Bari	bari1297	mot
Basa (Cameroon)	basa1284	bas
Basa (Nigeria)	basa1282	bzw
Basa-Gumna	basa1280	bsl
Basa-Gurmana	basa1281	buj
Basap	basa1286	bdb
Basay	basa1287	byq
Bashkardi	bash1263	bsg
Bashkir	bash1264	bak
Basketo	bask1236	bst
Basque	basq1248	eus
Basque-Amerindian Pidgin	basq1252	NA
Bassa	nucl1418	bsq
Bassa-Kontagora	bass1259	bsr
Bassari-Tanda	bass1258	bsc
Bassossi	bass1260	bsi
Basum	basu1243	NA
Bata	bata1314	bta
Bataan Ayta	bata1297	ayt
Batad Ifugao	bata1298	ifb
Batak Alas-Kluet	bata1292	btz
Batak Angkola	bata1290	akb
Batak Dairi	bata1294	btd
Batak Karo	bata1293	btx
Batak Mandailing	bata1291	btm
Batak Simalungun	bata1288	bts
Batak Toba	bata1289	bbc
Batak	bata1301	bya
Batanga	bata1285	bnm
Batanta	bata1295	NA
Batek	bate1262	btq
Bateri	bate1261	btv
Bathari	bath1244	bhm
Bati (Cameroon)	bati1251	btc
Bati (Indonesia)	bati1253	bvt
Bats	bats1242	bbl
Batu	batu1255	btu
Batui	batu1260	zbt
Batuley	batu1258	bay
Bau Bidayuh	baub1235	sne
Bau	bauu1244	bbd
Bauchi	bauc1238	bsf
Baure	baur1253	brg
Bauria	baur1251	bge
Bauro	baur1252	bxa
Bauwaki	bauw1240	bwk
Bauxite Pidgin	baux1234	NA
Bauzi	bauz1241	bvz
Bavarian	bava1246	bar
Bawm Chin	bawm1236	bgr
Bay Miwok	baym1241	mkq
Bayali	baya1257	bjy
Baybayanon	bayb1234	bvy
Baygo	bayg1239	byg
Bayono	bayo1260	byl
Bayot	bayo1255	bda
Bayungu	bayu1240	bxj
Bazigar	bazi1237	bfr
Beami	beam1240	beo
Beaver	beav1236	bea
Beba	beba1238	bfp
Bebe	bebe1250	bzv
Bebele	bebe1248	beb
Bebeli	bebe1252	bek
Bebil	bebi1242	bxp
Bedik	bedi1235	tnr
Bedoanas	bedo1237	bed
Beeke	beek1238	bkf
Beele	beel1236	bxq
Beembe	beem1239	beq
Beezen	beez1238	bnz
Befang	befa1241	bby
Begbere-Ejar	begb1241	bqv
Beja	beja1238	bej
Bekati'	beka1241	bei
Bekwarra	bekw1241	bkv
Bekwil	bekw1242	bkw
Belanda Bor	bela1256	bxb
Belanda Viri	bela1255	bvi
Belarusian	bela1254	bel
Belep	nyal1254	yly
Belgian Sign Language	belg1241	bvs
Belhariya	belh1239	byw
Beli (Papua New Guinea)	beli1258	bey
Beli (Sudan)	beli1257	blm
Belize Kriol English	beli1260	bzj
Bella Coola	bell1243	blc
Bellari	bell1261	brw
Belle-Isle Pidgin	bell1264	NA
Belneng	beln1234	NA
Belueli	belu1239	NA
Bemba (Democratic Republic of Congo)	bemb1258	bmy
Bemba (Zambia)	bemb1257	bem
Bembe	bemb1255	bmb
Ben Tey Dogon	bent1238	dbt
Ben-Lomond-Cape-Portland	benl1235	NA
Bena (Nigeria)	bena1260	yun
Bena (Tanzania)	bena1262	bez
Benabena	bena1264	bef
Bench	benc1235	bcq
Bende	bend1258	bdp
Bendi	bend1260	bct
Beng	beng1286	nhb
Benga	beng1282	bng
Bengali	beng1280	ben
Benggoi	beng1287	bgy
Bengkulu	beng1290	bke
Bentong	bent1237	bnu
Benyadu'	beny1237	byd
Beothuk	beot1247	bue
Bepour	bepo1240	bie
Bera	bera1259	brf
Berakou	bera1261	bxv
Berau Malay	bera1262	bve
Berbice Creole Dutch	berb1259	brc
Beria	zagh1240	zag
Berik	beri1254	bkl
Berinomo	beri1253	bit
Berom	bero1242	bom
Berta	bert1248	wti
Berti	bert1249	byt
Besisi	besi1244	mhe
Besme	besm1235	bes
Besoa	beso1237	bep
Betaf	beta1253	bfe
Betawi	beta1252	bew
Bete (Yukubenic)	bete1261	byf
Bete-Bendi	bete1262	btt
Beti (Cameroon)	beti1250	btb
Beti (Cote d'Ivoire)	beti1248	eot
Betoi-Jirara	beto1236	NA
Betta Kurumba	bett1235	xub
Bezhta	bezh1248	kap
Bhadrawahi	bhad1241	bhd
Bhalay	bhal1245	bhx
Bharia	bhar1241	bha
Bhatola	bhat1237	btl
Bhatri	bhat1265	bgw
Bhattiyali	bhat1263	bht
Bhaya	bhay1238	bhe
Bhele	bhel1238	bhy
Bhilali	bhil1253	bhi
Bhili	bhil1251	bhb
Bhojpuri	bhoj1244	bho
Bhoti Kinnauri	bhot1235	nes
Bhunjia	bhun1242	bhu
Biafada	biaf1240	bif
Biage	biag1234	bdf
Biak	biak1248	bhw
Biali	bial1238	beh
Bian Marind	bian1251	bpv
Biangai	bian1252	big
Biao Mon	biao1256	bmt
Biao-Jiao Mien	biao1254	bje
Biatah Bidayuh	biat1246	bth
Bidai	bida1238	NA
Bidiyo	bidi1241	bid
Bidyara	bidy1243	bym
Biem	biem1237	bmc
Bierebo	bier1244	bnk
Bieria	bier1246	brj
Biete	biet1238	biu
Big Nambas	bign1238	nmb
Biga	biga1238	bhc
Bigambal	biga1237	xbe
Bih	biha1246	ibh
Bijori	bijo1238	bix
Bikaru-Bragge	bika1251	bic
Bikya	biky1238	byb
Bila	bila1255	bip
Bilakura	bila1257	bql
Bilaspuri	bila1253	kfs
Bilba	bilb1242	bpz
Bilbil	bilb1241	brz
Bile	bile1244	bil
Bilin	bili1260	byn
Bilma Kanuri	bilm1238	bms
Biloxi	bilo1248	bll
Bilua	bilu1245	blb
Bilur	bilu1244	bxf
Bima	bima1247	bhp
Bimin	bimi1240	bhl
Bimoba	bimo1239	bim
Bina (Nigeria)	bina1270	byj
Bina (Papua New Guinea)	bina1271	bmn
Binahari	bina1275	bxz
Binahari-Ma	bina1274	NA
Binandere	bina1277	bhg
Bindal-Cunningham	bind1234	NA
Bindal-Gorton	bind1235	NA
Bindal-Mount Elliot	bind1236	NA
Bine	bine1240	bon
Bini	bini1246	bin
Bininj Kun-Wok	gunw1252	gup
Binji	binj1249	bpj
Binongan Itneg	bino1237	itb
Bintauna	bint1245	bne
Bintulu	bint1246	bny
Binumarien	binu1245	bjr
Bipi	bipi1237	biq
